mapping	file	row#	transcription
61	crowdsourced_diseases_top600.gmt	8	ENCODE Histone Modifications 2015
62	crowdsourced_diseases_top600.gmt	8	Transcription Factor PPIs
63	crowdsourced_diseases_top600.gmt	9	ChEA
64	crowdsourced_diseases_top600.gmt	9	TRANSFAC and JASPAR PWMs
65	crowdsourced_diseases_top600.gmt	9	Epigenomics Roadmap HM ChIP-seq
66	crowdsourced_diseases_top600.gmt	9	TargetScan microRNA
67	crowdsourced_diseases_top600.gmt	9	ENCODE TF ChIP-seq 2015
68	crowdsourced_diseases_top600.gmt	9	ENCODE Histone Modifications 2015
69	crowdsourced_diseases_top600.gmt	9	Transcription Factor PPIs
70	crowdsourced_diseases_top600.gmt	10	ChEA
71	crowdsourced_diseases_top600.gmt	10	TRANSFAC and JASPAR PWMs
72	crowdsourced_diseases_top600.gmt	10	Epigenomics Roadmap HM ChIP-seq
73	crowdsourced_diseases_top600.gmt	10	TargetScan microRNA
74	crowdsourced_diseases_top600.gmt	10	ENCODE TF ChIP-seq 2015
75	crowdsourced_diseases_top600.gmt	10	ENCODE Histone Modifications 2015
76	crowdsourced_diseases_top600.gmt	10	Transcription Factor PPIs
77	crowdsourced_diseases_top600.gmt	11	ChEA
78	crowdsourced_diseases_top600.gmt	11	TRANSFAC and JASPAR PWMs
79	crowdsourced_diseases_top600.gmt	11	Epigenomics Roadmap HM ChIP-seq
80	crowdsourced_diseases_top600.gmt	11	TargetScan microRNA
81	crowdsourced_diseases_top600.gmt	11	ENCODE TF ChIP-seq 2015
82	crowdsourced_diseases_top600.gmt	11	ENCODE Histone Modifications 2015
83	crowdsourced_diseases_top600.gmt	11	Transcription Factor PPIs
84	crowdsourced_diseases_top600.gmt	12	ChEA
85	crowdsourced_diseases_top600.gmt	12	TRANSFAC and JASPAR PWMs
86	crowdsourced_diseases_top600.gmt	12	Epigenomics Roadmap HM ChIP-seq
87	crowdsourced_diseases_top600.gmt	12	TargetScan microRNA
88	crowdsourced_diseases_top600.gmt	12	ENCODE TF ChIP-seq 2015
89	crowdsourced_diseases_top600.gmt	12	ENCODE Histone Modifications 2015
90	crowdsourced_diseases_top600.gmt	12	Transcription Factor PPIs
91	crowdsourced_diseases_top600.gmt	13	ChEA
92	crowdsourced_diseases_top600.gmt	13	TRANSFAC and JASPAR PWMs
93	crowdsourced_diseases_top600.gmt	13	Epigenomics Roadmap HM ChIP-seq
94	crowdsourced_diseases_top600.gmt	13	TargetScan microRNA
95	crowdsourced_diseases_top600.gmt	13	ENCODE TF ChIP-seq 2015
96	crowdsourced_diseases_top600.gmt	13	ENCODE Histone Modifications 2015
97	crowdsourced_diseases_top600.gmt	13	Transcription Factor PPIs
98	crowdsourced_diseases_top600.gmt	14	ChEA
99	crowdsourced_diseases_top600.gmt	14	TRANSFAC and JASPAR PWMs
100	crowdsourced_diseases_top600.gmt	14	Epigenomics Roadmap HM ChIP-seq
101	crowdsourced_diseases_top600.gmt	14	TargetScan microRNA
102	crowdsourced_diseases_top600.gmt	14	ENCODE TF ChIP-seq 2015
103	crowdsourced_diseases_top600.gmt	14	ENCODE Histone Modifications 2015
104	crowdsourced_diseases_top600.gmt	14	Transcription Factor PPIs
105	crowdsourced_diseases_top600.gmt	15	ChEA
106	crowdsourced_diseases_top600.gmt	15	TRANSFAC and JASPAR PWMs
107	crowdsourced_diseases_top600.gmt	15	Epigenomics Roadmap HM ChIP-seq
108	crowdsourced_diseases_top600.gmt	15	TargetScan microRNA
109	crowdsourced_diseases_top600.gmt	15	ENCODE TF ChIP-seq 2015
110	crowdsourced_diseases_top600.gmt	15	ENCODE Histone Modifications 2015
111	crowdsourced_diseases_top600.gmt	15	Transcription Factor PPIs
112	crowdsourced_diseases_top600.gmt	16	ChEA
113	crowdsourced_diseases_top600.gmt	16	TRANSFAC and JASPAR PWMs
114	crowdsourced_diseases_top600.gmt	16	Epigenomics Roadmap HM ChIP-seq
115	crowdsourced_diseases_top600.gmt	16	TargetScan microRNA
116	crowdsourced_diseases_top600.gmt	16	ENCODE TF ChIP-seq 2015
117	crowdsourced_diseases_top600.gmt	16	ENCODE Histone Modifications 2015
118	crowdsourced_diseases_top600.gmt	16	Transcription Factor PPIs
119	crowdsourced_diseases_top600.gmt	17	ChEA
120	crowdsourced_diseases_top600.gmt	17	TRANSFAC and JASPAR PWMs
121	crowdsourced_diseases_top600.gmt	17	Epigenomics Roadmap HM ChIP-seq
122	crowdsourced_diseases_top600.gmt	17	TargetScan microRNA
123	crowdsourced_diseases_top600.gmt	17	ENCODE TF ChIP-seq 2015
124	crowdsourced_diseases_top600.gmt	17	ENCODE Histone Modifications 2015
125	crowdsourced_diseases_top600.gmt	17	Transcription Factor PPIs
126	crowdsourced_diseases_top600.gmt	18	ChEA
127	crowdsourced_diseases_top600.gmt	18	TRANSFAC and JASPAR PWMs
128	crowdsourced_diseases_top600.gmt	18	Epigenomics Roadmap HM ChIP-seq
129	crowdsourced_diseases_top600.gmt	18	TargetScan microRNA
130	crowdsourced_diseases_top600.gmt	18	ENCODE TF ChIP-seq 2015
131	crowdsourced_diseases_top600.gmt	18	ENCODE Histone Modifications 2015
132	crowdsourced_diseases_top600.gmt	18	Transcription Factor PPIs
133	crowdsourced_diseases_top600.gmt	19	ChEA
134	crowdsourced_diseases_top600.gmt	19	TRANSFAC and JASPAR PWMs
135	crowdsourced_diseases_top600.gmt	19	Epigenomics Roadmap HM ChIP-seq
136	crowdsourced_diseases_top600.gmt	19	TargetScan microRNA
137	crowdsourced_diseases_top600.gmt	19	ENCODE TF ChIP-seq 2015
138	crowdsourced_diseases_top600.gmt	19	ENCODE Histone Modifications 2015
139	crowdsourced_diseases_top600.gmt	19	Transcription Factor PPIs
140	crowdsourced_diseases_top600.gmt	20	ChEA
141	crowdsourced_diseases_top600.gmt	20	TRANSFAC and JASPAR PWMs
142	crowdsourced_diseases_top600.gmt	20	Epigenomics Roadmap HM ChIP-seq
143	crowdsourced_diseases_top600.gmt	20	TargetScan microRNA
144	crowdsourced_diseases_top600.gmt	20	ENCODE TF ChIP-seq 2015
145	crowdsourced_diseases_top600.gmt	20	ENCODE Histone Modifications 2015
146	crowdsourced_diseases_top600.gmt	20	Transcription Factor PPIs
147	crowdsourced_diseases_top600.gmt	21	ChEA
148	crowdsourced_diseases_top600.gmt	21	TRANSFAC and JASPAR PWMs
149	crowdsourced_diseases_top600.gmt	21	Epigenomics Roadmap HM ChIP-seq
150	crowdsourced_diseases_top600.gmt	21	TargetScan microRNA
151	crowdsourced_diseases_top600.gmt	21	ENCODE TF ChIP-seq 2015
152	crowdsourced_diseases_top600.gmt	21	ENCODE Histone Modifications 2015
153	crowdsourced_diseases_top600.gmt	21	Transcription Factor PPIs
154	crowdsourced_diseases_top600.gmt	22	ChEA
155	crowdsourced_diseases_top600.gmt	22	TRANSFAC and JASPAR PWMs
156	crowdsourced_diseases_top600.gmt	22	Epigenomics Roadmap HM ChIP-seq
157	crowdsourced_diseases_top600.gmt	22	TargetScan microRNA
158	crowdsourced_diseases_top600.gmt	22	ENCODE TF ChIP-seq 2015
159	crowdsourced_diseases_top600.gmt	22	ENCODE Histone Modifications 2015
160	crowdsourced_diseases_top600.gmt	22	Transcription Factor PPIs
161	crowdsourced_diseases_top600.gmt	23	ChEA
162	crowdsourced_diseases_top600.gmt	23	TRANSFAC and JASPAR PWMs
163	crowdsourced_diseases_top600.gmt	23	Epigenomics Roadmap HM ChIP-seq
164	crowdsourced_diseases_top600.gmt	23	TargetScan microRNA
165	crowdsourced_diseases_top600.gmt	23	ENCODE TF ChIP-seq 2015
166	crowdsourced_diseases_top600.gmt	23	ENCODE Histone Modifications 2015
167	crowdsourced_diseases_top600.gmt	23	Transcription Factor PPIs
168	crowdsourced_diseases_top600.gmt	24	ChEA
169	crowdsourced_diseases_top600.gmt	24	TRANSFAC and JASPAR PWMs
170	crowdsourced_diseases_top600.gmt	24	Epigenomics Roadmap HM ChIP-seq
171	crowdsourced_diseases_top600.gmt	24	TargetScan microRNA
172	crowdsourced_diseases_top600.gmt	24	ENCODE TF ChIP-seq 2015
173	crowdsourced_diseases_top600.gmt	24	ENCODE Histone Modifications 2015
174	crowdsourced_diseases_top600.gmt	24	Transcription Factor PPIs
175	crowdsourced_diseases_top600.gmt	25	ChEA
176	crowdsourced_diseases_top600.gmt	25	TRANSFAC and JASPAR PWMs
177	crowdsourced_diseases_top600.gmt	25	Epigenomics Roadmap HM ChIP-seq
178	crowdsourced_diseases_top600.gmt	25	TargetScan microRNA
179	crowdsourced_diseases_top600.gmt	25	ENCODE TF ChIP-seq 2015
180	crowdsourced_diseases_top600.gmt	25	ENCODE Histone Modifications 2015
181	crowdsourced_diseases_top600.gmt	25	Transcription Factor PPIs
182	crowdsourced_diseases_top600.gmt	26	ChEA
183	crowdsourced_diseases_top600.gmt	26	TRANSFAC and JASPAR PWMs
184	crowdsourced_diseases_top600.gmt	26	Epigenomics Roadmap HM ChIP-seq
185	crowdsourced_diseases_top600.gmt	26	TargetScan microRNA
186	crowdsourced_diseases_top600.gmt	26	ENCODE TF ChIP-seq 2015
187	crowdsourced_diseases_top600.gmt	26	ENCODE Histone Modifications 2015
188	crowdsourced_diseases_top600.gmt	26	Transcription Factor PPIs
189	crowdsourced_diseases_top600.gmt	27	ChEA
190	crowdsourced_diseases_top600.gmt	27	TRANSFAC and JASPAR PWMs
191	crowdsourced_diseases_top600.gmt	27	Epigenomics Roadmap HM ChIP-seq
192	crowdsourced_diseases_top600.gmt	27	TargetScan microRNA
193	crowdsourced_diseases_top600.gmt	27	ENCODE TF ChIP-seq 2015
194	crowdsourced_diseases_top600.gmt	27	ENCODE Histone Modifications 2015
195	crowdsourced_diseases_top600.gmt	27	Transcription Factor PPIs
196	crowdsourced_diseases_top600.gmt	28	ChEA
197	crowdsourced_diseases_top600.gmt	28	TRANSFAC and JASPAR PWMs
198	crowdsourced_diseases_top600.gmt	28	Epigenomics Roadmap HM ChIP-seq
199	crowdsourced_diseases_top600.gmt	28	TargetScan microRNA
200	crowdsourced_diseases_top600.gmt	28	ENCODE TF ChIP-seq 2015
201	crowdsourced_diseases_top600.gmt	28	ENCODE Histone Modifications 2015
202	crowdsourced_diseases_top600.gmt	28	Transcription Factor PPIs
203	crowdsourced_diseases_top600.gmt	29	ChEA
204	crowdsourced_diseases_top600.gmt	29	TRANSFAC and JASPAR PWMs
205	crowdsourced_diseases_top600.gmt	29	Epigenomics Roadmap HM ChIP-seq
206	crowdsourced_diseases_top600.gmt	29	TargetScan microRNA
207	crowdsourced_diseases_top600.gmt	29	ENCODE TF ChIP-seq 2015
208	crowdsourced_diseases_top600.gmt	29	ENCODE Histone Modifications 2015
209	crowdsourced_diseases_top600.gmt	29	Transcription Factor PPIs
210	crowdsourced_diseases_top600.gmt	30	ChEA
211	crowdsourced_diseases_top600.gmt	30	TRANSFAC and JASPAR PWMs
212	crowdsourced_diseases_top600.gmt	30	Epigenomics Roadmap HM ChIP-seq
213	crowdsourced_diseases_top600.gmt	30	TargetScan microRNA
214	crowdsourced_diseases_top600.gmt	30	ENCODE TF ChIP-seq 2015
215	crowdsourced_diseases_top600.gmt	30	ENCODE Histone Modifications 2015
216	crowdsourced_diseases_top600.gmt	30	Transcription Factor PPIs
217	crowdsourced_diseases_top600.gmt	31	ChEA
218	crowdsourced_diseases_top600.gmt	31	TRANSFAC and JASPAR PWMs
219	crowdsourced_diseases_top600.gmt	31	Epigenomics Roadmap HM ChIP-seq
220	crowdsourced_diseases_top600.gmt	31	TargetScan microRNA
221	crowdsourced_diseases_top600.gmt	31	ENCODE TF ChIP-seq 2015
222	crowdsourced_diseases_top600.gmt	31	ENCODE Histone Modifications 2015
223	crowdsourced_diseases_top600.gmt	31	Transcription Factor PPIs
224	crowdsourced_diseases_top600.gmt	32	ChEA
225	crowdsourced_diseases_top600.gmt	32	TRANSFAC and JASPAR PWMs
226	crowdsourced_diseases_top600.gmt	32	Epigenomics Roadmap HM ChIP-seq
227	crowdsourced_diseases_top600.gmt	32	TargetScan microRNA
228	crowdsourced_diseases_top600.gmt	32	ENCODE TF ChIP-seq 2015
229	crowdsourced_diseases_top600.gmt	32	ENCODE Histone Modifications 2015
230	crowdsourced_diseases_top600.gmt	32	Transcription Factor PPIs
231	crowdsourced_diseases_top600.gmt	33	ChEA
232	crowdsourced_diseases_top600.gmt	33	TRANSFAC and JASPAR PWMs
233	crowdsourced_diseases_top600.gmt	33	Epigenomics Roadmap HM ChIP-seq
234	crowdsourced_diseases_top600.gmt	33	TargetScan microRNA
235	crowdsourced_diseases_top600.gmt	33	ENCODE TF ChIP-seq 2015
236	crowdsourced_diseases_top600.gmt	33	ENCODE Histone Modifications 2015
237	crowdsourced_diseases_top600.gmt	33	Transcription Factor PPIs
238	crowdsourced_diseases_top600.gmt	34	ChEA
239	crowdsourced_diseases_top600.gmt	34	TRANSFAC and JASPAR PWMs
240	crowdsourced_diseases_top600.gmt	34	Epigenomics Roadmap HM ChIP-seq
241	crowdsourced_diseases_top600.gmt	34	TargetScan microRNA
242	crowdsourced_diseases_top600.gmt	34	ENCODE TF ChIP-seq 2015
243	crowdsourced_diseases_top600.gmt	34	ENCODE Histone Modifications 2015
244	crowdsourced_diseases_top600.gmt	34	Transcription Factor PPIs
245	crowdsourced_diseases_top600.gmt	35	ChEA
246	crowdsourced_diseases_top600.gmt	35	TRANSFAC and JASPAR PWMs
247	crowdsourced_diseases_top600.gmt	35	Epigenomics Roadmap HM ChIP-seq
248	crowdsourced_diseases_top600.gmt	35	TargetScan microRNA
249	crowdsourced_diseases_top600.gmt	35	ENCODE TF ChIP-seq 2015
250	crowdsourced_diseases_top600.gmt	35	ENCODE Histone Modifications 2015
251	crowdsourced_diseases_top600.gmt	35	Transcription Factor PPIs
252	crowdsourced_diseases_top600.gmt	36	ChEA
253	crowdsourced_diseases_top600.gmt	36	TRANSFAC and JASPAR PWMs
254	crowdsourced_diseases_top600.gmt	36	Epigenomics Roadmap HM ChIP-seq
255	crowdsourced_diseases_top600.gmt	36	TargetScan microRNA
256	crowdsourced_diseases_top600.gmt	36	ENCODE TF ChIP-seq 2015
257	crowdsourced_diseases_top600.gmt	36	ENCODE Histone Modifications 2015
258	crowdsourced_diseases_top600.gmt	36	Transcription Factor PPIs
259	crowdsourced_diseases_top600.gmt	37	ChEA
260	crowdsourced_diseases_top600.gmt	37	TRANSFAC and JASPAR PWMs
261	crowdsourced_diseases_top600.gmt	37	Epigenomics Roadmap HM ChIP-seq
262	crowdsourced_diseases_top600.gmt	37	TargetScan microRNA
263	crowdsourced_diseases_top600.gmt	37	ENCODE TF ChIP-seq 2015
264	crowdsourced_diseases_top600.gmt	37	ENCODE Histone Modifications 2015
265	crowdsourced_diseases_top600.gmt	37	Transcription Factor PPIs
266	crowdsourced_diseases_top600.gmt	38	ChEA
267	crowdsourced_diseases_top600.gmt	38	TRANSFAC and JASPAR PWMs
268	crowdsourced_diseases_top600.gmt	38	Epigenomics Roadmap HM ChIP-seq
269	crowdsourced_diseases_top600.gmt	38	TargetScan microRNA
270	crowdsourced_diseases_top600.gmt	38	ENCODE TF ChIP-seq 2015
271	crowdsourced_diseases_top600.gmt	38	ENCODE Histone Modifications 2015
272	crowdsourced_diseases_top600.gmt	38	Transcription Factor PPIs
273	crowdsourced_diseases_top600.gmt	39	ChEA
274	crowdsourced_diseases_top600.gmt	39	TRANSFAC and JASPAR PWMs
275	crowdsourced_diseases_top600.gmt	39	Epigenomics Roadmap HM ChIP-seq
276	crowdsourced_diseases_top600.gmt	39	TargetScan microRNA
277	crowdsourced_diseases_top600.gmt	39	ENCODE TF ChIP-seq 2015
278	crowdsourced_diseases_top600.gmt	39	ENCODE Histone Modifications 2015
279	crowdsourced_diseases_top600.gmt	39	Transcription Factor PPIs
280	crowdsourced_diseases_top600.gmt	40	ChEA
281	crowdsourced_diseases_top600.gmt	40	TRANSFAC and JASPAR PWMs
282	crowdsourced_diseases_top600.gmt	40	Epigenomics Roadmap HM ChIP-seq
283	crowdsourced_diseases_top600.gmt	40	TargetScan microRNA
284	crowdsourced_diseases_top600.gmt	40	ENCODE TF ChIP-seq 2015
285	crowdsourced_diseases_top600.gmt	40	ENCODE Histone Modifications 2015
286	crowdsourced_diseases_top600.gmt	40	Transcription Factor PPIs
287	crowdsourced_diseases_top600.gmt	41	ChEA
288	crowdsourced_diseases_top600.gmt	41	TRANSFAC and JASPAR PWMs
289	crowdsourced_diseases_top600.gmt	41	Epigenomics Roadmap HM ChIP-seq
290	crowdsourced_diseases_top600.gmt	41	TargetScan microRNA
291	crowdsourced_diseases_top600.gmt	41	ENCODE TF ChIP-seq 2015
292	crowdsourced_diseases_top600.gmt	41	ENCODE Histone Modifications 2015
293	crowdsourced_diseases_top600.gmt	41	Transcription Factor PPIs
294	crowdsourced_diseases_top600.gmt	42	ChEA
295	crowdsourced_diseases_top600.gmt	42	TRANSFAC and JASPAR PWMs
296	crowdsourced_diseases_top600.gmt	42	Epigenomics Roadmap HM ChIP-seq
297	crowdsourced_diseases_top600.gmt	42	TargetScan microRNA
298	crowdsourced_diseases_top600.gmt	42	ENCODE TF ChIP-seq 2015
299	crowdsourced_diseases_top600.gmt	42	ENCODE Histone Modifications 2015
300	crowdsourced_diseases_top600.gmt	42	Transcription Factor PPIs
301	crowdsourced_diseases_top600.gmt	43	ChEA
302	crowdsourced_diseases_top600.gmt	43	TRANSFAC and JASPAR PWMs
303	crowdsourced_diseases_top600.gmt	43	Epigenomics Roadmap HM ChIP-seq
304	crowdsourced_diseases_top600.gmt	43	TargetScan microRNA
305	crowdsourced_diseases_top600.gmt	43	ENCODE TF ChIP-seq 2015
306	crowdsourced_diseases_top600.gmt	43	ENCODE Histone Modifications 2015
307	crowdsourced_diseases_top600.gmt	43	Transcription Factor PPIs
308	crowdsourced_diseases_top600.gmt	44	ChEA
309	crowdsourced_diseases_top600.gmt	44	TRANSFAC and JASPAR PWMs
310	crowdsourced_diseases_top600.gmt	44	Epigenomics Roadmap HM ChIP-seq
311	crowdsourced_diseases_top600.gmt	44	TargetScan microRNA
312	crowdsourced_diseases_top600.gmt	44	ENCODE TF ChIP-seq 2015
313	crowdsourced_diseases_top600.gmt	44	ENCODE Histone Modifications 2015
314	crowdsourced_diseases_top600.gmt	44	Transcription Factor PPIs
315	crowdsourced_diseases_top600.gmt	45	ChEA
316	crowdsourced_diseases_top600.gmt	45	TRANSFAC and JASPAR PWMs
317	crowdsourced_diseases_top600.gmt	45	Epigenomics Roadmap HM ChIP-seq
318	crowdsourced_diseases_top600.gmt	45	TargetScan microRNA
319	crowdsourced_diseases_top600.gmt	45	ENCODE TF ChIP-seq 2015
320	crowdsourced_diseases_top600.gmt	45	ENCODE Histone Modifications 2015
321	crowdsourced_diseases_top600.gmt	45	Transcription Factor PPIs
322	crowdsourced_diseases_top600.gmt	46	ChEA
323	crowdsourced_diseases_top600.gmt	46	TRANSFAC and JASPAR PWMs
324	crowdsourced_diseases_top600.gmt	46	Epigenomics Roadmap HM ChIP-seq
325	crowdsourced_diseases_top600.gmt	46	TargetScan microRNA
326	crowdsourced_diseases_top600.gmt	46	ENCODE TF ChIP-seq 2015
327	crowdsourced_diseases_top600.gmt	46	ENCODE Histone Modifications 2015
328	crowdsourced_diseases_top600.gmt	46	Transcription Factor PPIs
329	crowdsourced_diseases_top600.gmt	47	ChEA
330	crowdsourced_diseases_top600.gmt	47	TRANSFAC and JASPAR PWMs
331	crowdsourced_diseases_top600.gmt	47	Epigenomics Roadmap HM ChIP-seq
332	crowdsourced_diseases_top600.gmt	47	TargetScan microRNA
333	crowdsourced_diseases_top600.gmt	47	ENCODE TF ChIP-seq 2015
334	crowdsourced_diseases_top600.gmt	47	ENCODE Histone Modifications 2015
335	crowdsourced_diseases_top600.gmt	47	Transcription Factor PPIs
336	crowdsourced_diseases_top600.gmt	48	ChEA
337	crowdsourced_diseases_top600.gmt	48	TRANSFAC and JASPAR PWMs
338	crowdsourced_diseases_top600.gmt	48	Epigenomics Roadmap HM ChIP-seq
339	crowdsourced_diseases_top600.gmt	48	TargetScan microRNA
340	crowdsourced_diseases_top600.gmt	48	ENCODE TF ChIP-seq 2015
341	crowdsourced_diseases_top600.gmt	48	ENCODE Histone Modifications 2015
342	crowdsourced_diseases_top600.gmt	48	Transcription Factor PPIs
343	crowdsourced_diseases_top600.gmt	49	ChEA
344	crowdsourced_diseases_top600.gmt	49	TRANSFAC and JASPAR PWMs
345	crowdsourced_diseases_top600.gmt	49	Epigenomics Roadmap HM ChIP-seq
346	crowdsourced_diseases_top600.gmt	49	TargetScan microRNA
347	crowdsourced_diseases_top600.gmt	49	ENCODE TF ChIP-seq 2015
348	crowdsourced_diseases_top600.gmt	49	ENCODE Histone Modifications 2015
349	crowdsourced_diseases_top600.gmt	49	Transcription Factor PPIs
350	crowdsourced_diseases_top600.gmt	50	ChEA
351	crowdsourced_diseases_top600.gmt	50	TRANSFAC and JASPAR PWMs
352	crowdsourced_diseases_top600.gmt	50	Epigenomics Roadmap HM ChIP-seq
353	crowdsourced_diseases_top600.gmt	50	TargetScan microRNA
354	crowdsourced_diseases_top600.gmt	50	ENCODE TF ChIP-seq 2015
355	crowdsourced_diseases_top600.gmt	50	ENCODE Histone Modifications 2015
356	crowdsourced_diseases_top600.gmt	50	Transcription Factor PPIs
357	crowdsourced_diseases_top600.gmt	51	ChEA
358	crowdsourced_diseases_top600.gmt	51	TRANSFAC and JASPAR PWMs
359	crowdsourced_diseases_top600.gmt	51	Epigenomics Roadmap HM ChIP-seq
360	crowdsourced_diseases_top600.gmt	51	TargetScan microRNA
361	crowdsourced_diseases_top600.gmt	51	ENCODE TF ChIP-seq 2015
362	crowdsourced_diseases_top600.gmt	51	ENCODE Histone Modifications 2015
363	crowdsourced_diseases_top600.gmt	51	Transcription Factor PPIs
364	crowdsourced_diseases_top600.gmt	52	ChEA
365	crowdsourced_diseases_top600.gmt	52	TRANSFAC and JASPAR PWMs
366	crowdsourced_diseases_top600.gmt	52	Epigenomics Roadmap HM ChIP-seq
367	crowdsourced_diseases_top600.gmt	52	TargetScan microRNA
368	crowdsourced_diseases_top600.gmt	52	ENCODE TF ChIP-seq 2015
369	crowdsourced_diseases_top600.gmt	52	ENCODE Histone Modifications 2015
370	crowdsourced_diseases_top600.gmt	52	Transcription Factor PPIs
371	crowdsourced_diseases_top600.gmt	53	ChEA
372	crowdsourced_diseases_top600.gmt	53	TRANSFAC and JASPAR PWMs
373	crowdsourced_diseases_top600.gmt	53	Epigenomics Roadmap HM ChIP-seq
374	crowdsourced_diseases_top600.gmt	53	TargetScan microRNA
375	crowdsourced_diseases_top600.gmt	53	ENCODE TF ChIP-seq 2015
376	crowdsourced_diseases_top600.gmt	53	ENCODE Histone Modifications 2015
377	crowdsourced_diseases_top600.gmt	53	Transcription Factor PPIs
378	crowdsourced_diseases_top600.gmt	54	ChEA
379	crowdsourced_diseases_top600.gmt	54	TRANSFAC and JASPAR PWMs
380	crowdsourced_diseases_top600.gmt	54	Epigenomics Roadmap HM ChIP-seq
381	crowdsourced_diseases_top600.gmt	54	TargetScan microRNA
382	crowdsourced_diseases_top600.gmt	54	ENCODE TF ChIP-seq 2015
383	crowdsourced_diseases_top600.gmt	54	ENCODE Histone Modifications 2015
384	crowdsourced_diseases_top600.gmt	54	Transcription Factor PPIs
385	crowdsourced_diseases_top600.gmt	55	ChEA
